bridge: ap=/dev/ttyUSB0 sta=/dev/ttyUSB1 baud=921600 logdir=logs capture=logs/capture_1771134945.sf.bin
bridge: roles ap_role=AP sta_role=STA
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_START
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
[STA->AP] /dev/ttyUSB1 LOG: wifi: STA_CONNECTED
