bridge: ap=/dev/ttyUSB0 sta=/dev/ttyUSB1 baud=921600 logdir=logs capture=logs/capture_1771139514.sf.bin
bridge: roles ap_role=AP sta_role=STA
bridge: proto_log=logs/proto_1771139514.jsonl
[CMD] udp dst=40000 phone_src=6000 len=7 op=0x0001 head=63630100000000
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=6363014d006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08080b0000099
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08180b0000199
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08280b0000299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08380b0000399
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08480b0000499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08580b0000599
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=63630163006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08680b0000699
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08780b0000799
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08880b0000899
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08980b0000999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08a80b0000a99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08b80b0000b99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08c80b0000c99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08d80b0000d99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08e80b0000e99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08f80b0000f99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09080b0001099
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09180b0001199
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09280b0001299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09380b0001399
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=63630165006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09480b0001499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09580b0001599
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09680b0001699
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09780b0001799
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09880b0001899
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09980b0001999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09a80b0001a99
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=63630166006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09b80b0001b99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09c80b0001c99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09d80b0001d99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09e80b0001e99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09f80b0001f99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a080b0002099
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a180b0002199
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a280b0002299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a380b0002399
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a480b0002499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a580b0002599
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a680b0002699
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a780b0002799
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=63630168006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a880b0002899
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a980b0002999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0aa80b0002a99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0ab80b0002b99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0ac80b0002c99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0ad80b0002d99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0ae80b0002e99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0af80b0002f99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0b080b0003099
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=6363016a006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0af80b0002f99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0ae80b0002e99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0ad80b0002d99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0ac80b0002c99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0ab80b0002b99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0aa80b0002a99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a980b0002999
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=6363016b006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a880b0002899
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a780b0002799
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a680b0002699
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a580b0002599
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a480b0002499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a380b0002399
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a280b0002299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a180b0002199
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b0a080b0002099
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09f80b0001f99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09e80b0001e99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09d80b0001d99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09c80b0001c99
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=6363016d006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09b80b0001b99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09a80b0001a99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09980b0001999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09880b0001899
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09780b0001799
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09680b0001699
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09580b0001599
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09480b0001499
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=6363016e006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09380b0001399
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09280b0001299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09180b0001199
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b09080b0001099
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08f80b0000f99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08e80b0000e99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08d80b0000d99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08c80b0000c99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08b80b0000b99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08a80b0000a99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08980b0000999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08880b0000899
