+====================+===================+====================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                |
+====================+===================+====================================================================+
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3968_4031_42_44/RAMA/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3968_4031_42_44/RAMC/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3968_4031_42_44/RAMD/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3968_4031_42_44/RAMB/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_4032_4095_33_35/RAMD/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_4032_4095_33_35/RAMC/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_4032_4095_33_35/RAMB/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_4032_4095_33_35/RAMA/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3136_3199_33_35/RAMA/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3136_3199_33_35/RAMB/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3136_3199_33_35/RAMC/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3136_3199_33_35/RAMD/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3968_4031_33_35/RAMB/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3968_4031_33_35/RAMC/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3968_4031_33_35/RAMA/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3968_4031_33_35/RAMD/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3712_3775_33_35/RAMA/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3712_3775_33_35/RAMD/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3712_3775_33_35/RAMC/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3712_3775_33_35/RAMB/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_896_959_33_35/RAMB/WADR3   |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_896_959_33_35/RAMA/WADR3   |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_896_959_33_35/RAMD/WADR3   |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_896_959_33_35/RAMC/WADR3   |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3264_3327_33_35/RAMA/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3264_3327_33_35/RAMD/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3264_3327_33_35/RAMC/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3264_3327_33_35/RAMB/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3584_3647_33_35/RAMD/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3584_3647_33_35/RAMB/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3584_3647_33_35/RAMA/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3584_3647_33_35/RAMC/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3072_3135_33_35/RAMA/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3072_3135_33_35/RAMB/WADR0 |
| clk_capture_inst   | clk_capture_inst  | uart_out_inst/input_debug_fifo/fifo_reg_3072_3135_33_35/RAMC/WADR0 |
